season_end_year,match_date,match_time,day_of_week,competition_name,competition_country,venue,match_status,referee,home_team,away_team,home_goals,away_goals,home_xg,away_xg,attendance,score_difference,home_result,away_result,home_rating_pre,away_rating_pre,home_rating_post,away_rating_post
2020,2019-09-07,15:00,Sat,FA Women's Super League,ENG,Etihad Stadium,Played,Rebecca Welch,Manchester City,Manchester Utd,1,0,0.5,1.1,31213.0,1,W,L,1000.0,1000.0,1016.0,984.0
2020,2019-09-07,15:00,Sat,FA Women's Super League,ENG,Stoke Gifford Stadium,Played,Abigail Bryne,Bristol City,Brighton,0,0,0.4,2.1,3041.0,0,D,D,1000.0,1000.0,1000.0,1000.0
2020,2019-09-08,12:30,Sun,FA Women's Super League,ENG,Stamford Bridge,Played,Jack Packman,Chelsea,Tottenham,1,0,1.3,0.3,24564.0,1,W,L,1000.0,1000.0,1016.0,984.0
2020,2019-09-08,14:00,Sun,FA Women's Super League,ENG,Damson Park,Played,Elliot Swallow,Birmingham City,Everton,0,1,0.7,0.8,873.0,-1,L,W,1000.0,1000.0,984.0,1016.0
2020,2019-09-08,14:00,Sun,FA Women's Super League,ENG,Prenton Park,Played,Samuel Barrott,Liverpool,Reading,0,1,0.5,1.0,1445.0,-1,L,W,1000.0,1000.0,984.0,1016.0
2020,2019-09-08,14:30,Sun,FA Women's Super League,ENG,Meadow Park,Played,Stacey Pearson,Arsenal,West Ham,2,1,2.6,0.8,1795.0,1,W,L,1000.0,1000.0,1016.0,984.0
2020,2019-09-15,12:30,Sun,FA Women's Super League,ENG,Adams Park,Played,Stacey Pearson,Reading,Manchester City,0,2,0.2,2.3,897.0,-2,L,W,1016.0,1016.0,1000.0,1032.0
2020,2019-09-15,12:30,Sun,FA Women's Super League,ENG,Haig Avenue,Played,Amy Fearn,Everton,Bristol City,2,0,1.4,1.0,441.0,2,W,L,1016.0,1000.0,1031.263693206478,984.736306793522
2020,2019-09-15,14:00,Sun,FA Women's Super League,ENG,The Hive Stadium,Played,Ryan Atkin,Tottenham,Liverpool,1,0,1.6,0.3,996.0,1,W,L,984.0,984.0,1000.0,968.0
2020,2019-09-15,14:00,Sun,FA Women's Super League,ENG,Checkatrade.com Stadium,Played,Lee Collins,Brighton,Chelsea,1,1,0.4,1.7,1352.0,0,D,D,1000.0,1016.0,1000.736306793522,1015.263693206478
2020,2019-09-15,15:00,Sun,FA Women's Super League,ENG,Rush Green Stadium,Played,Paul Howard,West Ham,Birmingham City,1,0,1.4,0.9,1297.0,1,W,L,984.0,984.0,1000.0,968.0
2020,2019-09-16,19:30,Mon,FA Women's Super League,ENG,Leigh Sports Village Stadium,Played,Abigail Bryne,Manchester Utd,Arsenal,0,1,0.6,1.9,2530.0,-1,L,W,984.0,1016.0,969.4695015289755,1030.5304984710244
2020,2019-09-28,12:00,Sat,FA Women's Super League,ENG,Leigh Sports Village Stadium,Played,Lucy Oliver,Manchester Utd,Liverpool,2,0,3.2,0.5,2813.0,2,W,L,969.4695015289755,968.0,985.401828886217,952.0676726427585
2020,2019-09-29,12:30,Sun,FA Women's Super League,ENG,Meadow Park,Played,Elliot Swallow,Arsenal,Brighton,4,0,1.5,0.1,1607.0,4,W,L,1030.5304984710244,1000.736306793522,1045.1617787137973,986.1050265507491
2020,2019-09-29,12:30,Sun,FA Women's Super League,ENG,Meadow Park,Played,Lewis Smith,Everton,Manchester City,0,1,0.6,1.5,378.0,-1,L,W,1031.263693206478,1032.0,1015.2976013366471,1047.9660918698307
